,Target Name,"Target, Subunit, Species",Target Mutant/Chimera Details,Target Species (Bioactivity),Substance Action on Target,Substance Effect,Bioassay Category,Bioassay Name,Bioassay Details,Biological Species/NCBI ID,Medchem: Measurement Parameter,Unit,Qualitative value,Quantitative value,References,Canomical_Smiles,pChEMBL
169,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,Inhibitor,inhibitory activity,In Vitro (Efficacy),NaN,"Inhibitory concentration of the compound against 1 nM wild type human ANAPLASTIC LYMPHOMA KINASE expressed in SF9 insect cells using 2.5 uL Ulight-CKKSRGDYMTMQIG as substrate in presence of 100 uM ATP upon incubation in 50 mM Hepes, pH 7.5 for 90 mins at RT by LANTHANIDE CHELATE EXCITE TIME-RESOLVED FLUORESCENCE RESONANCE ENERGY TRANSFER (LANCE TR-FRET) ASSAY",NaN,IC50,nM,=,0.62,Patent; ASCENTAGE PHARMACEUTICAL GROUP CO LTD; WO2015/127629; (2015); A1;,COc1cc2c(=O)c3c4ccc(C#N)cc4[nH]c3n(C(C)C)c2c(F)c1C1CCN(CCO)CC1,1
225,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,Inhibitor,inhibitory activity,In Vitro (Efficacy),NaN,"Inhibitory concentration of the compound against 1 nM wild type human ANAPLASTIC LYMPHOMA KINASE expressed in SF9 insect cells using 2.5 uL Ulight-CKKSRGDYMTMQIG as substrate in presence of 100 uM ATP upon incubation in 50 mM Hepes, pH 7.5 for 90 mins at RT by LANTHANIDE CHELATE EXCITE TIME-RESOLVED FLUORESCENCE RESONANCE ENERGY TRANSFER (LANCE TR-FRET) ASSAY",NaN,IC50,nM,=,0.67,Patent; ASCENTAGE PHARMACEUTICAL GROUP CO LTD; WO2015/127629; (2015); A1;,C#Cc1cc2c(=O)c3c4ccc(C#N)cc4[nH]c3n(C3CCC3)c2cc1N1CCN(C)CC1,1
228,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,Inhibitor,inhibitory activity,In Vitro (Efficacy),NaN,"Inhibitory concentration of the compound against 1 nM wild type human ANAPLASTIC LYMPHOMA KINASE expressed in SF9 insect cells using 2.5 uL Ulight-CKKSRGDYMTMQIG as substrate in presence of 100 uM ATP upon incubation in 50 mM Hepes, pH 7.5 for 90 mins at RT by LANTHANIDE CHELATE EXCITE TIME-RESOLVED FLUORESCENCE RESONANCE ENERGY TRANSFER (LANCE TR-FRET) ASSAY",NaN,IC50,nM,=,0.7,Patent; ASCENTAGE PHARMACEUTICAL GROUP CO LTD; WO2015/127629; (2015); A1;,CCc1cc2c(=O)c3c4ccc(C#N)cc4[nH]c3n(C(C)C)c2cc1N1CCC(N2CCOCC2)CC1,1
240,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,Inhibitor,inhibitory activity,In Vitro (Efficacy),NaN,"Inhibitory concentration of the compound against 1 nM wild type human ANAPLASTIC LYMPHOMA KINASE expressed in SF9 insect cells using 2.5 uL Ulight-CKKSRGDYMTMQIG as substrate in presence of 100 uM ATP upon incubation in 50 mM Hepes, pH 7.5 for 90 mins at RT by LANTHANIDE CHELATE EXCITE TIME-RESOLVED FLUORESCENCE RESONANCE ENERGY TRANSFER (LANCE TR-FRET) ASSAY",NaN,IC50,nM,=,0.77,Patent; ASCENTAGE PHARMACEUTICAL GROUP CO LTD; WO2015/127629; (2015); A1;,CCc1cc2c(=O)c3c4ccc(C#N)cc4[nH]c3n(C(C)C)c2cc1C1CCN(C(C)C)CC1,1
241,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,Inhibitor,inhibitory activity,In Vitro (Efficacy),NaN,"Inhibitory concentration of the compound against 1 nM wild type human ANAPLASTIC LYMPHOMA KINASE expressed in SF9 insect cells using 2.5 uL Ulight-CKKSRGDYMTMQIG as substrate in presence of 100 uM ATP upon incubation in 50 mM Hepes, pH 7.5 for 90 mins at RT by LANTHANIDE CHELATE EXCITE TIME-RESOLVED FLUORESCENCE RESONANCE ENERGY TRANSFER (LANCE TR-FRET) ASSAY",NaN,IC50,nM,=,0.78,Patent; ASCENTAGE PHARMACEUTICAL GROUP CO LTD; WO2015/127629; (2015); A1;,CCc1cc2c(=O)c3c4ccc(C#N)cc4[nH]c3n(C(C)C)c2cc1C1CCN(C2CCOCC2)CC1,1
157,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,Inhibitor,inhibitory activity,In Vitro (Efficacy),NaN,"Inhibitory concentration of the compound against 1 nM wild type human ANAPLASTIC LYMPHOMA KINASE expressed in SF9 insect cells using 2.5 uL Ulight-CKKSRGDYMTMQIG as substrate in presence of 100 uM ATP upon incubation in 50 mM Hepes, pH 7.5 for 90 mins at RT by LANTHANIDE CHELATE EXCITE TIME-RESOLVED FLUORESCENCE RESONANCE ENERGY TRANSFER (LANCE TR-FRET) ASSAY",NaN,IC50,nM,=,0.79,Patent; ASCENTAGE PHARMACEUTICAL GROUP CO LTD; WO2015/127629; (2015); A1;,CCCOc1cc2c(=O)c3c4ccc(C#N)cc4[nH]c3n(C(C)C)c2cc1N1CCN(C)CC1,1
2616,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,NaN,NaN,In Vitro (Efficacy),Enzymology inhibition,NaN,NaN,IC50,µM,=,0.001,Patent; Novartis (w/o Sandoz); NOVARTIS AG; WO2004/80980; (2004); A1;,CCS(=O)(=O)c1ccccc1Nc1nc(Nc2ccc(N3CCC(N4CCOCC4)CC3)cc2OC)ncc1Cl,1
2624,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,NaN,NaN,In Vitro (Efficacy),Enzymology inhibition,NaN,NaN,IC50,µM,=,0.001,Patent; Novartis (w/o Sandoz); NOVARTIS AG; WO2004/80980; (2004); A1;,CNC(=O)c1ccccc1Nc1nc(Nc2cc(N3CCC(N4CCCCC4)CC3)ccc2OC)ncc1Cl,1
2629,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,NaN,NaN,In Vitro (Efficacy),Enzymology inhibition,NaN,NaN,IC50,µM,=,0.001,Patent; Novartis (w/o Sandoz); NOVARTIS AG; WO2004/80980; (2004); A1;,CNC(=O)c1ccccc1Nc1nc(Nc2ccc(N3CCC(N4CCN(C)CC4)CC3)cc2OC)ncc1Cl,1
2628,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,NaN,NaN,In Vitro (Efficacy),Enzymology inhibition,NaN,NaN,IC50,µM,=,0.001,Patent; Novartis (w/o Sandoz); NOVARTIS AG; WO2004/80980; (2004); A1;,COc1cc(N2CCC(NC(C)=O)C2)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)NC2CCC2)n1,1
2609,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,NaN,NaN,In Vitro (Efficacy),Enzymology inhibition,NaN,NaN,IC50,µM,=,0.001,Patent; Novartis (w/o Sandoz); NOVARTIS AG; WO2004/80980; (2004); A1;,COc1cc(N2CCOCC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C2CCCCC2)n1,1
2627,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,NaN,NaN,In Vitro (Efficacy),Enzymology inhibition,NaN,NaN,IC50,µM,=,0.001,Patent; Novartis (w/o Sandoz); NOVARTIS AG; WO2004/80980; (2004); A1;,CCS(=O)(=O)c1ccccc1Nc1nc(Nc2ccc(N3CCC(N4CCCCC4)CC3)cc2OC)ncc1Cl,1
2610,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,NaN,NaN,In Vitro (Efficacy),Enzymology inhibition,NaN,NaN,IC50,µM,=,0.001,Patent; Novartis (w/o Sandoz); NOVARTIS AG; WO2004/80980; (2004); A1;,CCC(C)NS(=O)(=O)c1ccccc1Nc1nc(Nc2ccc(OCCN3CCOCC3)cc2OC)ncc1Cl,1
2626,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,NaN,NaN,In Vitro (Efficacy),Enzymology inhibition,NaN,NaN,IC50,µM,=,0.001,Patent; Novartis (w/o Sandoz); NOVARTIS AG; WO2004/80980; (2004); A1;,CNS(=O)(=O)c1ccccc1Nc1nc(Nc2ccc(N3CCC(N4CCCCC4)CC3)cc2OC)ncc1Cl,1
2611,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,NaN,NaN,In Vitro (Efficacy),Enzymology inhibition,NaN,NaN,IC50,µM,=,0.001,Patent; Novartis (w/o Sandoz); NOVARTIS AG; WO2004/80980; (2004); A1;,COc1cc(N2CCCC(C(N)=O)C2)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)NC(C)C)n1,1
2625,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,NaN,NaN,In Vitro (Efficacy),Enzymology inhibition,NaN,NaN,IC50,µM,=,0.001,Patent; Novartis (w/o Sandoz); NOVARTIS AG; WO2004/80980; (2004); A1;,COc1cc(N2CCC(N3CCCC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)NC(C)C)n1,1
2623,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,NaN,NaN,In Vitro (Efficacy),Enzymology inhibition,NaN,NaN,IC50,µM,=,0.001,Patent; Novartis (w/o Sandoz); NOVARTIS AG; WO2004/80980; (2004); A1;,CNC(=O)c1cc(N2CCCC2)ccc1Nc1nc(Nc2ccc(N3CCOCC3)cc2OC)ncc1Cl,1
2612,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,NaN,NaN,In Vitro (Efficacy),Enzymology inhibition,NaN,NaN,IC50,µM,=,0.001,Patent; Novartis (w/o Sandoz); NOVARTIS AG; WO2004/80980; (2004); A1;,CCCS(=O)(=O)c1ccccc1Nc1nc(Nc2ccc(N3CCN(C(=O)CC)CC3)cc2OC)ncc1Cl,1
2617,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,NaN,NaN,In Vitro (Efficacy),Enzymology inhibition,NaN,NaN,IC50,µM,=,0.001,Patent; Novartis (w/o Sandoz); NOVARTIS AG; WO2004/80980; (2004); A1;,COc1cc(N2CCN3CCOC[C@H]3C2)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)NC(C)C)n1,1
2622,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,NaN,NaN,In Vitro (Efficacy),Enzymology inhibition,NaN,NaN,IC50,µM,=,0.001,Patent; Novartis (w/o Sandoz); NOVARTIS AG; WO2004/80980; (2004); A1;,COc1cc(N2CCC(N3CCOCC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C(C)C)n1,1
2621,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,NaN,NaN,In Vitro (Efficacy),Enzymology inhibition,NaN,NaN,IC50,µM,=,0.001,Patent; Novartis (w/o Sandoz); NOVARTIS AG; WO2004/80980; (2004); A1;,CCC(CC)NS(=O)(=O)c1ccccc1Nc1nc(Nc2ccc(OCC3CCCN(C)C3)cc2OC)ncc1Cl,1
2613,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,NaN,NaN,In Vitro (Efficacy),Enzymology inhibition,NaN,NaN,IC50,µM,=,0.001,Patent; Novartis (w/o Sandoz); NOVARTIS AG; WO2004/80980; (2004); A1;,CCC(CC)S(=O)(=O)c1ccccc1Nc1nc(Nc2ccc(N3CCN(C(C)=O)CC3)cc2OC)ncc1Cl,1
2620,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,NaN,NaN,In Vitro (Efficacy),Enzymology inhibition,NaN,NaN,IC50,µM,=,0.001,Patent; Novartis (w/o Sandoz); NOVARTIS AG; WO2004/80980; (2004); A1;,COc1cc(N2CCC(N3CCCC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C(C)C)n1,1
2614,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,NaN,NaN,In Vitro (Efficacy),Enzymology inhibition,NaN,NaN,IC50,µM,=,0.001,Patent; Novartis (w/o Sandoz); NOVARTIS AG; WO2004/80980; (2004); A1;,CCCS(=O)(=O)c1ccccc1Nc1nc(Nc2ccc(C(=O)N3CCN(C(C)=O)CC3)cc2OC)ncc1Cl,1
2619,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,NaN,NaN,In Vitro (Efficacy),Enzymology inhibition,NaN,NaN,IC50,µM,=,0.001,Patent; Novartis (w/o Sandoz); NOVARTIS AG; WO2004/80980; (2004); A1;,CCC(CC)NS(=O)(=O)c1ccccc1Nc1nc(Nc2ccc(OCCN3CCOCC3)cc2OC)ncc1Cl,1
2615,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,NaN,NaN,In Vitro (Efficacy),Enzymology inhibition,NaN,NaN,IC50,µM,=,0.001,Patent; Novartis (w/o Sandoz); NOVARTIS AG; WO2004/80980; (2004); A1;,COc1cc(OC2CCN(C)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)NC2CCCC2)n1,1
2618,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,NaN,NaN,In Vitro (Efficacy),Enzymology inhibition,NaN,NaN,IC50,µM,=,0.001,Patent; Novartis (w/o Sandoz); NOVARTIS AG; WO2004/80980; (2004); A1;,COc1cc(N2CCN(C(C)=O)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C2CCCC2)n1,1
2570,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,NaN,NaN,In Vitro (Efficacy),Enzymology inhibition,NaN,NaN,IC50,µM,=,0.001,Patent; Novartis (w/o Sandoz); NOVARTIS AG; WO2004/80980; (2004); A1;,CNS(=O)(=O)c1ccccc1Nc1nc(Nc2cccc3c2ccn3CCCN2CCOCC2)ncc1Cl,1
2604,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,NaN,NaN,In Vitro (Efficacy),Enzymology inhibition,NaN,NaN,IC50,µM,=,0.001,Patent; Novartis (w/o Sandoz); NOVARTIS AG; WO2004/80980; (2004); A1;,CCCS(=O)(=O)c1ccccc1Nc1nc(Nc2ccc(N3CCC[C@@H](C(N)=O)C3)cc2OC)ncc1Cl,1
2608,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,NaN,NaN,In Vitro (Efficacy),Enzymology inhibition,NaN,NaN,IC50,µM,=,0.001,Patent; Novartis (w/o Sandoz); NOVARTIS AG; WO2004/80980; (2004); A1;,COc1cc(OC2CCN(C)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)NC2CCC2)n1,1
2594,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,NaN,NaN,In Vitro (Efficacy),Enzymology inhibition,NaN,NaN,IC50,µM,=,0.001,Patent; Novartis (w/o Sandoz); NOVARTIS AG; WO2004/80980; (2004); A1;,CCNC1CCN(c2ccc(Nc3ncc(Cl)c(Nc4ccccc4S(=O)(=O)NC(CC)CC)n3)c(OC)c2)C1,1
2583,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,NaN,NaN,In Vitro (Efficacy),Enzymology inhibition,NaN,NaN,IC50,µM,=,0.001,Patent; Novartis (w/o Sandoz); NOVARTIS AG; WO2004/80980; (2004); A1;,CCCS(=O)(=O)c1ccccc1Nc1nc(Nc2ccc(NCCN3CCOCC3)cc2OC)ncc1Cl,1
2584,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,NaN,NaN,In Vitro (Efficacy),Enzymology inhibition,NaN,NaN,IC50,µM,=,0.001,Patent; Novartis (w/o Sandoz); NOVARTIS AG; WO2004/80980; (2004); A1;,CNS(=O)(=O)c1ccccc1Nc1nc(Nc2cc(OCCCN3CCOCC3)ccc2OC)ncc1Br,1
2585,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,NaN,NaN,In Vitro (Efficacy),Enzymology inhibition,NaN,NaN,IC50,µM,=,0.001,Patent; Novartis (w/o Sandoz); NOVARTIS AG; WO2004/80980; (2004); A1;,CCC(CC)NS(=O)(=O)c1ccccc1Nc1nc(Nc2ccc(OC3CCN(C)CC3)cc2OC)ncc1Cl,1
2586,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,NaN,NaN,In Vitro (Efficacy),Enzymology inhibition,NaN,NaN,IC50,µM,=,0.001,Patent; Novartis (w/o Sandoz); NOVARTIS AG; WO2004/80980; (2004); A1;,CNS(=O)(=O)c1ccccc1Nc1nc(Nc2ccc(N3CCC(C(N)=O)CC3)cc2OC)ncc1Br,1
2587,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,NaN,NaN,In Vitro (Efficacy),Enzymology inhibition,NaN,NaN,IC50,µM,=,0.001,Patent; Novartis (w/o Sandoz); NOVARTIS AG; WO2004/80980; (2004); A1;,CCCS(=O)(=O)c1cc(N2CCN(C)CC2)ccc1Nc1nc(Nc2ccc(F)cc2OC)ncc1Cl,1
